"Voltaje","Trat","emmean","SE","df","lower.CL","upper.CL","Channel","Concentration","Variable"
-50,"Control",-1.89843991433532,0.357401773142842,540.5614458711,-2.60050644486661,-1.19637338380402,"BgNav1","2","Corriente"
-50,"Veneno",-1.83869605189993,0.361345406418442,540.5614458711,-2.5485093065371,-1.12888279726276,"BgNav1","2","Corriente"
-45,"Control",-3.09737939300018,0.35828801898634,540.5614458711,-3.8011868313593,-2.39357195464106,"BgNav1","2","Corriente"
-45,"Veneno",-3.25579644051573,0.362416575275027,540.5614458711,-3.96771385875607,-2.54387902227539,"BgNav1","2","Corriente"
-40,"Control",-4.09872486769854,0.357055186170499,540.5614458711,-4.80011057588511,-3.39733915951197,"BgNav1","2","Corriente"
-40,"Veneno",-4.52876727518942,0.360924516851543,540.5614458711,-5.23775375027435,-3.81978080010449,"BgNav1","2","Corriente"
-35,"Control",-4.67715052933014,0.358437370585315,540.5614458711,-5.3812513483236,-3.97304971033667,"BgNav1","2","Corriente"
-35,"Veneno",-5.37136889742205,0.36260169097755,540.5614458711,-6.08364994994958,-4.65908784489452,"BgNav1","2","Corriente"
-30,"Control",-4.80991075808855,0.357074234610269,540.5614458711,-5.51133388431002,-4.10848763186708,"BgNav1","2","Corriente"
-30,"Veneno",-5.72738276722687,0.360947039835336,540.5614458711,-6.43641348560962,-5.01835204884413,"BgNav1","2","Corriente"
-25,"Control",-4.61695092078411,0.358253956989472,540.5614458711,-5.32069144904439,-3.91321039252382,"BgNav1","2","Corriente"
-25,"Veneno",-5.70234029855795,0.362379620788503,540.5614458711,-6.41418512480214,-4.99049547231377,"BgNav1","2","Corriente"
-20,"Control",-4.2425730270675,0.357388024759151,540.5614458711,-4.94461255079367,-3.54053350334133,"BgNav1","2","Corriente"
-20,"Veneno",-5.43003818886085,0.361327923408074,540.5614458711,-6.13981710053345,-4.72025927718825,"BgNav1","2","Corriente"
-15,"Control",-3.78587309804824,0.357845335724495,540.5614458711,-4.48881094614475,-3.08293524995174,"BgNav1","2","Corriente"
-15,"Veneno",-5.0050575758583,0.3618834414571,540.5614458711,-5.71592772618341,-4.2941874255332,"BgNav1","2","Corriente"
-10,"Control",-3.30154636297551,0.357845335720806,540.5614458711,-4.00448421106476,-2.59860851488625,"BgNav1","2","Corriente"
-10,"Veneno",-4.49408474843415,0.361883441452652,540.5614458711,-5.20495489875052,-3.78321459811779,"BgNav1","2","Corriente"
-5,"Control",-2.82337626947641,0.357388024758464,540.5614458711,-3.52541579320123,-2.12133674575158,"BgNav1","2","Corriente"
-5,"Veneno",-3.95674212792699,0.361327923407248,540.5614458711,-4.66652103959797,-3.24696321625601,"BgNav1","2","Corriente"
0,"Control",-2.37183384485512,0.358253956987213,540.5614458711,-3.07557437311097,-1.66809331659927,"BgNav1","2","Corriente"
0,"Veneno",-3.43579842049799,0.362379620785782,540.5614458711,-4.14764324673683,-2.72395359425914,"BgNav1","2","Corriente"
5,"Control",-1.95146047080879,0.35707423461054,540.5614458711,-2.65288359703079,-1.25003734458678,"BgNav1","2","Corriente"
5,"Veneno",-2.94169344473367,0.360947039835664,540.5614458711,-3.65072416311706,-2.23266272635028,"BgNav1","2","Corriente"
10,"Control",-1.55746380373677,0.358437370588196,540.5614458711,-2.26156462273589,-0.853362984737639,"BgNav1","2","Corriente"
10,"Veneno",-2.46372761713333,0.362601690981022,540.5614458711,-3.17600866966768,-1.75144656459897,"BgNav1","2","Corriente"
15,"Control",-1.18979956496819,0.357055186170791,540.5614458711,-1.89118527315533,-0.488413856781042,"BgNav1","2","Corriente"
15,"Veneno",-1.99726470907526,0.360924516851893,540.5614458711,-2.70625118416087,-1.28827823398964,"BgNav1","2","Corriente"
20,"Control",-0.858343379044767,0.358288018988724,540.5614458711,-1.56215081740857,-0.154535940680963,"BgNav1","2","Corriente"
20,"Veneno",-1.55419016312772,0.362416575277902,540.5614458711,-2.26610758137371,-0.842272744881727,"BgNav1","2","Corriente"
25,"Control",-0.574603415020561,0.357401773139928,540.5614458711,-1.27666994554613,0.127463115505012,"BgNav1","2","Corriente"
25,"Veneno",-1.14946767054358,0.36134540641493,540.5614458711,-1.85928092517385,-0.439654415913304,"BgNav1","2","Corriente"
30,"Control",-0.342185662043411,0.357784741473142,540.5614458711,-1.0450044810835,0.360633156996676,"BgNav1","2","Corriente"
30,"Veneno",-0.78710912044733,0.361804057329931,540.5614458711,-1.49782333159438,-0.0763949093002824,"BgNav1","2","Corriente"
35,"Control",-0.156406332916644,0.35809317085214,540.5614458711,-0.85983101896775,0.547018353134462,"BgNav1","2","Corriente"
35,"Veneno",-0.463349805414037,0.362176023569882,540.5614458711,-1.17479469297956,0.248095082151488,"BgNav1","2","Corriente"
40,"Control",-0.00967944781868166,0.357219936947632,540.5614458711,-0.711388786202962,0.692029890565598,"BgNav1","2","Corriente"
40,"Veneno",-0.177985812367911,0.360950346151287,540.5614458711,-0.887023025552705,0.531051400816883,"BgNav1","2","Corriente"
45,"Control",0.105762661783034,0.360250771322302,540.5614458711,-0.601900333057196,0.813425656623263,"BgNav1","2","Corriente"
45,"Veneno",0.0638947021337087,0.364197994610637,540.5614458711,-0.651522068897681,0.779311473165099,"BgNav1","2","Corriente"
50,"Control",0.198875279989199,0.35927913600545,540.5614458711,-0.506879071170151,0.904629631148549,"BgNav1","2","Corriente"
50,"Veneno",0.260880680451632,0.362628761265613,540.5614458711,-0.4514535479263,0.973214908829564,"BgNav1","2","Corriente"
55,"Control",0.27955473454124,0.364288579881972,540.5614458711,-0.436039978772318,0.995149447854797,"BgNav1","2","Corriente"
55,"Veneno",0.42144089667101,0.3691932082759,540.5614458711,-0.303788283225605,1.14667007656762,"BgNav1","2","Corriente"
60,"Control",0.355582875961196,0.365370565223948,540.5614458711,-0.362137248450484,1.07330300037288,"BgNav1","2","Corriente"
60,"Veneno",0.560054377861728,0.367111350503613,540.5614458711,-0.161085279337794,1.28119403506125,"BgNav1","2","Corriente"
65,"Control",0.430625215823105,0.464185983837179,540.5614458711,-0.481204180903411,1.34245461254962,"BgNav1","2","Corriente"
65,"Veneno",0.689739438245906,0.468618476232803,540.5614458711,-0.230796978959096,1.61027585545091,"BgNav1","2","Corriente"
-90,"Control",0.0060275953145468,0.0618070822436689,279.231708089167,-0.115639399500263,0.127694590129356,"BgNav1","2","Var1"
-90,"Veneno",0.00679190649271897,0.0608786440515745,279.231708089167,-0.113047461444994,0.126631274430432,"BgNav1","2","Var1"
-85,"Control",0.00501498151853654,0.0466781579732441,279.231708089167,-0.0868707862273968,0.0969007492644699,"BgNav1","2","Var1"
-85,"Veneno",0.00443368694247301,0.0457416024959289,279.231708089167,-0.0856084750827911,0.0944758489677371,"BgNav1","2","Var1"
-80,"Control",0.00298820427625307,0.0461713258282462,279.231708089167,-0.0878998664142791,0.0938762749667852,"BgNav1","2","Var1"
-80,"Veneno",0.000758870899221249,0.0449500550526407,279.231708089167,-0.0877251331418407,0.0892428749402832,"BgNav1","2","Var1"
-75,"Control",-0.000243689172455531,0.0457577561296664,279.231708089167,-0.0903176495612864,0.0898302712163753,"BgNav1","2","Var1"
-75,"Veneno",-0.00409515320336205,0.0446872410833173,279.231708089167,-0.0920618089943177,0.0838715025875936,"BgNav1","2","Var1"
-70,"Control",-0.00753318780212482,0.0455370051140757,279.231708089167,-0.0971726006974605,0.0821062250932109,"BgNav1","2","Var1"
-70,"Veneno",-0.0114182508805364,0.0444153376012415,279.231708089167,-0.098849665751796,0.0760131639907231,"BgNav1","2","Var1"
